edge_grp_id,device_unit_id,sensor_dt,upload_dt,co2_1,tvoc_1,co2_2,tvoc_2,temp_1,humid_1,temp_2,humid_2,ptcl_1,ptcl_2,smoke_1,smoke_2,rownum,t_co2_1,t_co2_2,t_humid_1,t_humid_2,t_ptcl_1,t_ptcl_2,t_smoke_1,t_smoke_2,t_temp_1,t_temp_2,t_tvoc_1,t_tvoc_2
0,12,2023-11-21 14:33:49+09,2023-11-21 17:23:42.128759+09,1.01,397,0.51,185,40.9,20.3,27.1,38.5,2,2.7,16,62,93,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,3,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,10,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,11,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,12,2023-11-21 14:33:54+09,2023-11-21 17:23:42.208792+09,1,393,0.51,189,40.9,20.2,27.1,38.5,2.02,2.65,22,75,92,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,3,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,10,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,11,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,12,2023-11-21 14:33:59+09,2023-11-21 17:23:42.285379+09,1.01,390,0.51,187,40.9,20.2,27.1,38.5,2.03,2.65,24,79,91,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,3,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,10,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,11,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,12,2023-11-21 14:34:05+09,2023-11-21 17:23:42.346795+09,1.01,387,0.51,187,41,20.3,27.1,38.5,1.95,2.67,16,70,90,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,3,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:34:10+09,2023-11-21 17:23:42.419971+09,0.99,393,0.5,186,41,20.2,27.2,38.5,2.03,2.67,17,80,89,1,0.51,20,40,2,4,20,50,30,35,400,200
