Datetime,division,val
2021-07-10 오전 12:23:55,U4_A,26.0
2021-07-10 오전 12:23:55,U4_B,25.5
2021-07-10 오전 12:23:55,U5_A,28.1
2021-07-10 오전 12:23:55,U5_B,27.5
2021-07-10 오전 12:23:55,U6_A,31.2
2021-07-10 오전 12:23:55,U6_B,28.2
2021-07-10 오전 12:23:55,U7_A,27.6
2021-07-10 오전 12:23:55,U7_B,26.6
2021-07-10 오전 12:23:55,U8_A,30.1
2021-07-10 오전 12:23:55,U8_B,28.2
2021-07-10 오전 12:23:55,U9_A,29.9
2021-07-10 오전 12:23:55,U9_B,28.1
2021-07-10 오전 12:23:55,U10_A,30.0
2021-07-10 오전 12:23:55,U10_B,27.8
2021-07-10 오전 12:23:55,U11_A,29.0
2021-07-10 오전 12:23:55,U11_B,27.9
2021-07-10 오전 12:25:50,U0_A,29.2
2021-07-10 오전 12:25:50,U0_B,28.9
2021-07-10 오전 12:25:50,U1_A,22.8
2021-07-10 오전 12:25:50,U1_B,22.8
2021-07-10 오전 12:25:50,U2_A,22.8
2021-07-10 오전 12:25:50,U2_B,22.8
2021-07-10 오전 12:25:50,U3_A,26.6
2021-07-10 오전 12:25:50,U3_B,25.8
2021-07-10 오전 12:25:50,U4_A,26.0
2021-07-10 오전 12:25:50,U4_B,25.5
2021-07-10 오전 12:25:50,U5_A,28.1
2021-07-10 오전 12:25:50,U5_B,27.5
2021-07-10 오전 12:25:50,U6_A,31.2
2021-07-10 오전 12:25:50,U6_B,28.2
2021-07-10 오전 12:25:50,U7_A,27.6
2021-07-10 오전 12:25:50,U7_B,26.6
2021-07-10 오전 12:25:50,U8_A,30.0
2021-07-10 오전 12:25:50,U8_B,28.1
2021-07-10 오전 12:25:50,U9_A,29.9
2021-07-10 오전 12:25:50,U9_B,28.1
2021-07-10 오전 12:25:50,U10_A,30.0
2021-07-10 오전 12:25:50,U10_B,27.8
2021-07-10 오전 12:25:50,U11_A,28.9
2021-07-10 오전 12:25:50,U11_B,27.9
2021-07-10 오전 12:27:55,U0_A,29.3
2021-07-10 오전 12:27:55,U0_B,28.9
2021-07-10 오전 12:27:55,U1_A,22.8
2021-07-10 오전 12:27:55,U1_B,22.8
2021-07-10 오전 12:27:55,U2_A,22.8
2021-07-10 오전 12:27:55,U2_B,22.8
2021-07-10 오전 12:27:55,U3_A,26.6
2021-07-10 오전 12:27:55,U3_B,25.8
2021-07-10 오전 12:27:55,U4_A,26.0
2021-07-10 오전 12:27:55,U4_B,25.5
2021-07-10 오전 12:27:55,U5_A,28.1
2021-07-10 오전 12:27:55,U5_B,27.5
2021-07-10 오전 12:27:55,U6_A,31.2
2021-07-10 오전 12:27:55,U6_B,28.2
2021-07-10 오전 12:27:55,U7_A,27.6
2021-07-10 오전 12:27:55,U7_B,26.6
2021-07-10 오전 12:27:55,U8_A,30.1
2021-07-10 오전 12:27:55,U8_B,28.1
2021-07-10 오전 12:27:55,U9_A,29.9
2021-07-10 오전 12:27:55,U9_B,28.1
2021-07-10 오전 12:27:55,U10_A,30.0
2021-07-10 오전 12:27:55,U10_B,27.8
2021-07-10 오전 12:27:55,U11_A,28.9
2021-07-10 오전 12:27:55,U11_B,27.9
2021-07-10 오전 12:29:33,U0_A,29.2
2021-07-10 오전 12:29:33,U0_B,28.9
2021-07-10 오전 12:29:33,U1_A,22.8
2021-07-10 오전 12:29:33,U1_B,22.8
2021-07-10 오전 12:29:33,U2_A,22.8
2021-07-10 오전 12:29:33,U2_B,22.8
2021-07-10 오전 12:29:33,U3_A,26.6
2021-07-10 오전 12:29:33,U3_B,25.8
2021-07-10 오전 12:29:33,U4_A,26.0
2021-07-10 오전 12:29:33,U4_B,25.5
2021-07-10 오전 12:29:33,U5_A,28.0
2021-07-10 오전 12:29:33,U5_B,27.5
2021-07-10 오전 12:29:33,U6_A,31.2
2021-07-10 오전 12:29:33,U6_B,28.2
2021-07-10 오전 12:29:33,U7_A,27.6
2021-07-10 오전 12:29:33,U7_B,26.6
2021-07-10 오전 12:29:33,U8_A,30.1
2021-07-10 오전 12:29:33,U8_B,28.2
2021-07-10 오전 12:29:33,U9_A,29.9
2021-07-10 오전 12:29:33,U9_B,28.1
2021-07-10 오전 12:29:33,U10_A,30.0
2021-07-10 오전 12:29:33,U10_B,27.9
2021-07-10 오전 12:29:33,U11_A,28.9
2021-07-10 오전 12:29:33,U11_B,27.9
2021-07-10 오전 12:31:53,U0_A,29.2
2021-07-10 오전 12:31:53,U0_B,28.9
2021-07-10 오전 12:31:53,U1_A,22.8
2021-07-10 오전 12:31:53,U1_B,22.8
2021-07-10 오전 12:31:53,U2_A,22.8
2021-07-10 오전 12:31:53,U2_B,22.8
2021-07-10 오전 12:31:53,U3_A,26.6
2021-07-10 오전 12:31:53,U3_B,25.8
2021-07-10 오전 12:31:53,U4_A,26.0
2021-07-10 오전 12:31:53,U4_B,25.5
2021-07-10 오전 12:31:53,U5_A,28.1
2021-07-10 오전 12:31:53,U5_B,27.5
2021-07-10 오전 12:31:53,U6_A,31.2
2021-07-10 오전 12:31:53,U6_B,28.2
2021-07-10 오전 12:31:53,U7_A,27.6
2021-07-10 오전 12:31:53,U7_B,26.6
2021-07-10 오전 12:31:53,U8_A,30.1
2021-07-10 오전 12:31:53,U8_B,28.1
2021-07-10 오전 12:31:53,U9_A,29.9
2021-07-10 오전 12:31:53,U9_B,28.1
2021-07-10 오전 12:31:53,U10_A,30.0
2021-07-10 오전 12:31:53,U10_B,27.8
2021-07-10 오전 12:31:53,U11_A,28.9
2021-07-10 오전 12:31:53,U11_B,27.9
2021-07-10 오전 12:34:07,U0_A,29.2
2021-07-10 오전 12:34:07,U0_B,28.9
2021-07-10 오전 12:34:07,U1_A,22.8
2021-07-10 오전 12:34:07,U1_B,22.8
2021-07-10 오전 12:34:07,U2_A,22.8
2021-07-10 오전 12:34:07,U2_B,22.8
2021-07-10 오전 12:34:07,U3_A,26.6
2021-07-10 오전 12:34:07,U3_B,25.8
2021-07-10 오전 12:34:07,U4_A,26.0
2021-07-10 오전 12:34:07,U4_B,25.5
2021-07-10 오전 12:34:07,U5_A,28.1
2021-07-10 오전 12:34:07,U5_B,27.5
2021-07-10 오전 12:34:07,U6_A,31.2
2021-07-10 오전 12:34:07,U6_B,28.2
2021-07-10 오전 12:34:07,U7_A,27.6
2021-07-10 오전 12:34:07,U7_B,26.6
2021-07-10 오전 12:34:07,U8_A,30.1
2021-07-10 오전 12:34:07,U8_B,28.1
2021-07-10 오전 12:34:07,U9_A,29.9
2021-07-10 오전 12:34:07,U9_B,28.1
2021-07-10 오전 12:34:07,U10_A,30.0
2021-07-10 오전 12:34:07,U10_B,27.8
2021-07-10 오전 12:34:07,U11_A,28.9
2021-07-10 오전 12:34:07,U11_B,27.9
2021-07-10 오전 12:36:23,U0_A,29.3
2021-07-10 오전 12:36:23,U0_B,28.9
2021-07-10 오전 12:36:23,U1_A,22.8
2021-07-10 오전 12:36:23,U1_B,22.8
2021-07-10 오전 12:36:23,U2_A,22.8
2021-07-10 오전 12:36:23,U2_B,22.8
2021-07-10 오전 12:36:23,U3_A,26.6
2021-07-10 오전 12:36:23,U3_B,25.8
2021-07-10 오전 12:36:23,U4_A,26.0
2021-07-10 오전 12:36:23,U4_B,25.5
